customer_id,customer_name,city,segment,since_year
CUST0001,Customer_1,Hyderabad,Wholesale,2018
CUST0002,Customer_2,Delhi,Wholesale,2018
CUST0003,Customer_3,Pune,Online,2022
CUST0004,Customer_4,Delhi,Online,2019
CUST0005,Customer_5,Kolkata,Wholesale,2022
CUST0006,Customer_6,Kolkata,Wholesale,2019
CUST0007,Customer_7,Bangalore,Wholesale,2023
CUST0008,Customer_8,Chennai,Retail,2018
CUST0009,Customer_9,Pune,Retail,2020
CUST0010,Customer_10,Hyderabad,Wholesale,2020
CUST0011,Customer_11,Hyderabad,Wholesale,2018
CUST0012,Customer_12,Delhi,Wholesale,2023
CUST0013,Customer_13,Pune,Wholesale,2021
CUST0014,Customer_14,Hyderabad,Retail,2020
CUST0015,Customer_15,Hyderabad,Online,2018
CUST0016,Customer_16,Bangalore,Retail,2023
CUST0017,Customer_17,Pune,Retail,2018
CUST0018,Customer_18,Hyderabad,Online,2018
CUST0019,Customer_19,Chennai,Online,2021
CUST0020,Customer_20,Chennai,Wholesale,2020
CUST0021,Customer_21,Bangalore,Online,2022
CUST0022,Customer_22,Pune,Wholesale,2020
CUST0023,Customer_23,Pune,Online,2020
CUST0024,Customer_24,Mumbai,Retail,2022
CUST0025,Customer_25,Bangalore,Wholesale,2019
CUST0026,Customer_26,Chennai,Online,2023
CUST0027,Customer_27,Bangalore,Online,2020
CUST0028,Customer_28,Hyderabad,Wholesale,2018
CUST0029,Customer_29,Chennai,Retail,2020
CUST0030,Customer_30,Mumbai,Online,2021
CUST0031,Customer_31,Pune,Retail,2021
CUST0032,Customer_32,Hyderabad,Online,2021
CUST0033,Customer_33,Kolkata,Online,2020
CUST0034,Customer_34,Pune,Wholesale,2019
CUST0035,Customer_35,Pune,Wholesale,2018
CUST0036,Customer_36,Chennai,Wholesale,2022
CUST0037,Customer_37,Kolkata,Wholesale,2019
CUST0038,Customer_38,Kolkata,Online,2019
CUST0039,Customer_39,Bangalore,Wholesale,2020
CUST0040,Customer_40,Bangalore,Wholesale,2018
CUST0041,Customer_41,Hyderabad,Wholesale,2019
CUST0042,Customer_42,Kolkata,Online,2021
CUST0043,Customer_43,Pune,Wholesale,2022
CUST0044,Customer_44,Delhi,Wholesale,2019
CUST0045,Customer_45,Mumbai,Retail,2019
CUST0046,Customer_46,Kolkata,Wholesale,2021
CUST0047,Customer_47,Mumbai,Wholesale,2022
CUST0048,Customer_48,Bangalore,Wholesale,2021
CUST0049,Customer_49,Bangalore,Retail,2021
CUST0050,Customer_50,Delhi,Retail,2020
CUST0051,Customer_51,Mumbai,Retail,2023
CUST0052,Customer_52,Pune,Online,2023
CUST0053,Customer_53,Bangalore,Wholesale,2019
CUST0054,Customer_54,Mumbai,Online,2018
CUST0055,Customer_55,Pune,Wholesale,2018
CUST0056,Customer_56,Bangalore,Online,2018
CUST0057,Customer_57,Kolkata,Retail,2018
CUST0058,Customer_58,Delhi,Online,2019
CUST0059,Customer_59,Hyderabad,Wholesale,2020
CUST0060,Customer_60,Bangalore,Wholesale,2019
CUST0061,Customer_61,Bangalore,Wholesale,2020
CUST0062,Customer_62,Mumbai,Wholesale,2023
CUST0063,Customer_63,Bangalore,Online,2020
CUST0064,Customer_64,Hyderabad,Wholesale,2019
CUST0065,Customer_65,Pune,Online,2020
CUST0066,Customer_66,Bangalore,Online,2022
CUST0067,Customer_67,Hyderabad,Online,2018
CUST0068,Customer_68,Chennai,Retail,2021
CUST0069,Customer_69,Chennai,Online,2021
CUST0070,Customer_70,Delhi,Online,2022
CUST0071,Customer_71,Pune,Online,2021
CUST0072,Customer_72,Mumbai,Retail,2022
CUST0073,Customer_73,Mumbai,Retail,2020
CUST0074,Customer_74,Bangalore,Wholesale,2023
CUST0075,Customer_75,Kolkata,Retail,2020
CUST0076,Customer_76,Pune,Wholesale,2019
CUST0077,Customer_77,Pune,Online,2018
CUST0078,Customer_78,Pune,Retail,2020
CUST0079,Customer_79,Hyderabad,Online,2019
CUST0080,Customer_80,Kolkata,Retail,2021
CUST0081,Customer_81,Mumbai,Retail,2018
CUST0082,Customer_82,Mumbai,Retail,2020
CUST0083,Customer_83,Delhi,Retail,2018
CUST0084,Customer_84,Mumbai,Online,2018
CUST0085,Customer_85,Mumbai,Retail,2019
CUST0086,Customer_86,Kolkata,Retail,2023
CUST0087,Customer_87,Bangalore,Online,2021
CUST0088,Customer_88,Mumbai,Retail,2020
CUST0089,Customer_89,Mumbai,Online,2019
CUST0090,Customer_90,Chennai,Wholesale,2021
CUST0091,Customer_91,Bangalore,Online,2018
CUST0092,Customer_92,Bangalore,Online,2019
CUST0093,Customer_93,Delhi,Wholesale,2023
CUST0094,Customer_94,Kolkata,Retail,2019
CUST0095,Customer_95,Delhi,Retail,2022
CUST0096,Customer_96,Pune,Wholesale,2019
CUST0097,Customer_97,Pune,Retail,2021
CUST0098,Customer_98,Chennai,Retail,2022
CUST0099,Customer_99,Chennai,Retail,2018
CUST0100,Customer_100,Hyderabad,Wholesale,2022
